fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig,yoy_growth,boom_growth_2020_2022,cooling_delta_2024_vs_2022,yoy_volatility,cluster,cluster_name
12019,Clay County,2023,337456.0679763775,Florida,Clay County,5405,232734,23.523984236,0.0115781329382529,0.4462056569972117,-0.2380764161620443,0.1171913184896284,2,Balanced growth markets
12019,Clay County,2024,339148.51969682786,Florida,Clay County,3459,236760,14.735012588,0.0050153246038795,0.4462056569972117,-0.2380764161620443,0.1171913184896284,2,Balanced growth markets
12021,Collier County,2020,360897.7912986335,Florida,Collier County,1950,377331,,,0.6148306795766552,-0.3548841071152762,0.1606522079225038,1,Migration boom markets
12021,Collier County,2021,429355.8469528383,Florida,Collier County,10857,387316,28.39741737,0.1896882089742619,0.6148306795766552,-0.3548841071152762,0.1606522079225038,1,Migration boom markets
12021,Collier County,2022,582788.8255804862,Florida,Collier County,8912,400510,22.624285058,0.3573562109764432,0.6148306795766552,-0.3548841071152762,0.1606522079225038,1,Migration boom markets
12021,Collier County,2023,608807.4064580303,Florida,Collier County,4059,410065,10.015112729,0.0446449549742624,0.6148306795766552,-0.3548841071152762,0.1606522079225038,1,Migration boom markets
12021,Collier County,2024,610312.4415982423,Florida,Collier County,-352,416233,-0.851992865,0.002472103861167,0.6148306795766552,-0.3548841071152762,0.1606522079225038,1,Migration boom markets
12023,Columbia County,2020,168759.2301382292,Florida,Columbia County,53,69760,,,0.4317395040815626,-0.1607749364556987,0.0912592062148938,0,Stable markets
12023,Columbia County,2021,199853.33810978688,Florida,Columbia County,409,69945,5.8551948749,0.184251302557429,0.4317395040815626,-0.1607749364556987,0.0912592062148938,0,Stable markets
12023,Columbia County,2022,241619.25646729456,Florida,Columbia County,2092,71941,29.488462569,0.2089828408798661,0.4317395040815626,-0.1607749364556987,0.0912592062148938,0,Stable markets
12023,Columbia County,2023,249279.54239692763,Florida,Columbia County,1318,73324,18.146146697,0.0317039545673378,0.4317395040815626,-0.1607749364556987,0.0912592062148938,0,Stable markets
12023,Columbia County,2024,261296.7867516989,Florida,Columbia County,514,73977,6.9789071357,0.0482079044241674,0.4317395040815626,-0.1607749364556987,0.0912592062148938,0,Stable markets
12027,De Soto County,2020,162032.06181717844,Florida,DeSoto County,160,34089,,,0.5407062441074963,-0.2842739481546252,0.136177482088722,1,Migration boom markets
12027,De Soto County,2021,192725.8895714076,Florida,DeSoto County,311,34341,9.0895805933,0.1894305818860786,0.5407062441074963,-0.2842739481546252,0.136177482088722,1,Migration boom markets
12027,De Soto County,2022,249643.80938733867,Florida,DeSoto County,935,35483,26.781622365,0.2953309487506201,0.5407062441074963,-0.2842739481546252,0.136177482088722,1,Migration boom markets
12027,De Soto County,2023,256369.5686841342,Florida,DeSoto County,592,36274,16.500132391,0.0269414223140622,0.5407062441074963,-0.2842739481546252,0.136177482088722,1,Migration boom markets
12027,De Soto County,2024,259204.2471578696,Florida,DeSoto County,298,36744,8.1623709222,0.0110570005959949,0.5407062441074963,-0.2842739481546252,0.136177482088722,1,Migration boom markets
12029,Dixie County,2020,129572.2199430966,Florida,Dixie County,-23,16685,,,0.5141852952728299,-0.1829127775874015,0.1281773882780694,2,Balanced growth markets
12029,Dixie County,2021,160502.81684062447,Florida,Dixie County,337,16929,20.051169156,0.238713181815604,0.5141852952728299,-0.1829127775874015,0.1281773882780694,2,Balanced growth markets
12029,Dixie County,2022,196196.35011369377,Florida,Dixie County,49,16839,2.9021558872,0.2223857124483499,0.5141852952728299,-0.1829127775874015,0.1281773882780694,2,Balanced growth markets
12029,Dixie County,2023,193245.61783414532,Florida,Dixie County,489,17221,28.714034058,-0.015039689973022,0.5141852952728299,-0.1829127775874015,0.1281773882780694,2,Balanced growth markets
12029,Dixie County,2024,200873.58951907625,Florida,Dixie County,515,17614,29.567963255,0.0394729348609483,0.5141852952728299,-0.1829127775874015,0.1281773882780694,2,Balanced growth markets
12031,Duval County,2020,206098.87321297496,Florida,Duval County,1372,997826,,,0.4446927876267321,-0.2354632612617115,0.1154115197298353,2,Balanced growth markets
12031,Duval County,2021,240463.97648132345,Florida,Duval County,1418,1002908,1.4174797849,0.1667408595331663,0.4446927876267321,-0.2354632612617115,0.1154115197298353,2,Balanced growth markets
