fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig
12049,Hardee County,2022,191595.38499031894,Florida,Hardee County,288,25692,11.289690318
12049,Hardee County,2023,201704.2454919952,Florida,Hardee County,79,25944,3.0598807034
12049,Hardee County,2024,218247.92850843736,Florida,Hardee County,-56,26068,-2.153349227
12051,Hendry County,2020,160592.31675117768,Florida,Hendry County,62,39723,
12051,Hendry County,2021,192706.05483655038,Florida,Hendry County,294,40221,7.355148604
12051,Hendry County,2022,240748.5149287684,Florida,Hendry County,756,41725,18.451175164
12051,Hendry County,2023,265435.6044271841,Florida,Hendry County,1354,44111,31.548534414
12051,Hendry County,2024,281364.8081075639,Florida,Hendry County,856,46130,18.971420973
12053,Hernando County,2020,192284.97924271514,Florida,Hernando County,1667,195629,
12053,Hernando County,2021,235855.33677399848,Florida,Hernando County,7218,200727,36.421802622
12053,Hernando County,2022,306737.17532429745,Florida,Hernando County,7530,207169,36.921175986
12053,Hernando County,2023,314622.2949957323,Florida,Hernando County,6873,213415,32.68312632
12053,Hernando County,2024,320798.2297415228,Florida,Hernando County,5344,218150,24.765678403
12055,Highlands County,2020,144904.40711307758,Florida,Highlands County,407,101340,
12055,Highlands County,2021,171863.97408924234,Florida,Highlands County,3305,103286,32.302835417
12055,Highlands County,2022,213119.28114730935,Florida,Highlands County,3231,105954,30.88319633
12055,Highlands County,2023,226736.7382278637,Florida,Highlands County,2608,108151,24.361878518
12055,Highlands County,2024,236176.30559609414,Florida,Highlands County,2047,109778,18.785934869
12057,Hillsborough County,2020,249052.41130846788,Florida,Hillsborough County,5514,1466320,
12057,Hillsborough County,2021,296556.9721573843,Florida,Hillsborough County,11703,1484844,7.9311078612
12057,Hillsborough County,2022,377615.3956391469,Florida,Hillsborough County,15886,1523839,10.560102211
12057,Hillsborough County,2023,385834.1675928211,Florida,Hillsborough County,3458,1557313,2.2446150011
12057,Hillsborough County,2024,392476.77098126867,Florida,Hillsborough County,-11188,1581426,-7.128977593
12059,Holmes County,2020,133970.97671908696,Florida,Holmes County,-48,19569,
12059,Holmes County,2021,160933.66556184937,Florida,Holmes County,-276,19136,-14.26172329
12059,Holmes County,2022,188556.87827689436,Florida,Holmes County,336,19324,17.472698908
12059,Holmes County,2023,183715.9775403838,Florida,Holmes County,427,19662,21.905299338
12059,Holmes County,2024,192154.46020753577,Florida,Holmes County,304,19876,15.377611412
12061,Indian River County,2020,248905.9449705225,Florida,Indian River County,1108,160452,
12061,Indian River County,2021,290630.7869039937,Florida,Indian River County,4892,163903,30.164480276
12061,Indian River County,2022,369121.85451736604,Florida,Indian River County,4396,167698,26.513792178
12061,Indian River County,2023,382566.80083570274,Florida,Indian River County,3172,170487,18.758963289
12061,Indian River County,2024,383915.7716013261,Florida,Indian River County,1946,172139,11.359324745
12063,Jackson County,2020,121028.99895442608,Florida,Jackson County,-137,47106,
12063,Jackson County,2021,144674.27638154305,Florida,Jackson County,353,47138,7.4911930733
12063,Jackson County,2022,167566.111628897,Florida,Jackson County,1259,48294,26.385279571
12063,Jackson County,2023,169904.68626876347,Florida,Jackson County,553,48731,11.399123937
12063,Jackson County,2024,174764.98867111982,Florida,Jackson County,1353,49980,27.413358187
12065,Jefferson County,2020,187604.77475506128,Florida,Jefferson County,-61,14402,
12065,Jefferson County,2021,220044.2490061487,Florida,Jefferson County,175,14497,12.111145714
12065,Jefferson County,2022,260287.865857581,Florida,Jefferson County,591,15090,39.949978031
12065,Jefferson County,2023,276068.10879432404,Florida,Jefferson County,481,15547,31.399941248
12065,Jefferson County,2024,287236.06104216387,Florida,Jefferson County,422,15921,26.82089742
12067,Lafayette County,2020,147568.24001890185,Florida,Lafayette County,1,8230,
12067,Lafayette County,2021,181116.1895343792,Florida,Lafayette County,-192,7957,-23.72274047
12067,Lafayette County,2022,214864.86688242387,Florida,Lafayette County,-140,7786,-17.78568253
12067,Lafayette County,2023,213978.43981004716,Florida,Lafayette County,417,8192,52.19677056
12067,Lafayette County,2024,234969.98427767053,Florida,Lafayette County,461,8640,54.77661597
12069,Lake County,2020,249892.06145576868,Florida,Lake County,2941,386238,
12069,Lake County,2021,286856.95569738146,Florida,Lake County,12486,396414,31.906901151
12069,Lake County,2022,357438.770406475,Florida,Lake County,14304,410981,35.432471095
12069,Lake County,2023,368142.9292978498,Florida,Lake County,14224,426782,33.957097652
12069,Lake County,2024,372751.53641328326,Florida,Lake County,15627,444204,35.883469998
12071,Lee County,2020,244122.69247808462,Florida,Lee County,5781,765566,
12071,Lee County,2021,293139.1022534335,Florida,Lee County,27903,791013,35.851697858
12071,Lee County,2022,387054.6778203353,Florida,Lee County,28652,826567,35.425759468
12071,Lee County,2023,398716.80181127024,Florida,Lee County,7891,844226,9.4458140536
12071,Lee County,2024,388339.11430865875,Florida,Lee County,5000,860959,5.8644663189
12073,Leon County,2020,213288.25076752994,Florida,Leon County,1719,293961,
12073,Leon County,2021,235816.9238219359,Florida,Leon County,1370,296057,4.6439261175
12073,Leon County,2022,263704.1836245834,Florida,Leon County,531,298181,1.7871627193
12073,Leon County,2023,275839.75843221135,Florida,Leon County,-1905,299024,-6.379718857
12073,Leon County,2024,285562.5283885514,Florida,Leon County,-1730,300488,-5.771360707
12075,Levy County,2020,181842.77618146362,Florida,Levy County,229,43065,
12075,Levy County,2021,216435.9085905543,Florida,Levy County,1464,44169,33.564894422
12075,Levy County,2022,262042.83899367685,Florida,Levy County,1305,45291,29.175050302
12075,Levy County,2023,275052.7094441696,Florida,Levy County,1442,46665,31.362825699
12075,Levy County,2024,289216.72242552636,Florida,Levy County,1156,47765,24.483744573
12077,Liberty County,2020,124181.88156857656,Florida,Liberty County,-137,7806,
12077,Liberty County,2021,147231.27069660905,Florida,Liberty County,-428,7294,-56.68874172
12077,Liberty County,2022,169747.96227368122,Florida,Liberty County,305,7609,40.931356103
12077,Liberty County,2023,178364.70860752347,Florida,Liberty County,146,7771,18.985695709
12077,Liberty County,2024,191197.3616273793,Florida,Liberty County,159,7955,20.221289584
12079,Madison County,2020,128285.42402940219,Florida,Madison County,-88,17838,
12079,Madison County,2021,156184.03633456782,Florida,Madison County,170,17943,9.5022497974
12079,Madison County,2022,191319.40486577738,Florida,Madison County,112,17978,6.2359065728
12079,Madison County,2023,193610.00640569616,Florida,Madison County,458,18322,25.23415978
12079,Madison County,2024,201182.87628280345,Florida,Madison County,195,18364,10.630758327
12081,Manatee County,2020,287163.9884476756,Florida,Manatee County,2578,401644,
12081,Manatee County,2021,340864.41873756243,Florida,Manatee County,13948,413805,34.209374222
12081,Manatee County,2022,449608.69765821984,Florida,Manatee County,15149,430700,35.876637794
12081,Manatee County,2023,462459.21699100005,Florida,Manatee County,10931,444457,24.980660613
12081,Manatee County,2024,454085.80667231366,Florida,Manatee County,10615,458352,23.515494418
12083,Marion County,2020,178324.74158337052,Florida,Marion County,2295,377464,
12083,Marion County,2021,211588.24692946055,Florida,Marion County,11066,385024,29.026030574
12083,Marion County,2022,271586.68022284383,Florida,Marion County,13113,396661,33.550599026
12083,Marion County,2023,283235.1501806906,Florida,Marion County,15327,412338,37.89127057
12083,Marion County,2024,283101.00768010656,Florida,Marion County,16105,428905,38.288580113
12085,Martin County,2020,295176.6603206291,Florida,Martin County,512,158669,
12085,Martin County,2021,347542.6851453267,Florida,Martin County,2434,159925,15.279634896
12085,Martin County,2022,437889.46312169195,Florida,Martin County,2845,162379,17.654140191
12085,Martin County,2023,462741.29406669125,Florida,Martin County,1816,164241,11.119955912
12085,Martin County,2024,466506.5926527037,Florida,Martin County,1225,165666,7.4263353006
12086,Miami-Dade County,2020,326426.32388217346,Florida,Miami-Dade County,-7235,2695729,
12086,Miami-Dade County,2021,368936.54887743323,Florida,Miami-Dade County,-41159,2669925,-15.34165267
12086,Miami-Dade County,2022,449199.11394368246,Florida,Miami-Dade County,-38439,2713415,-14.28072535
12086,Miami-Dade County,2023,490798.7599240775,Florida,Miami-Dade County,-50637,2774250,-18.45484373
12086,Miami-Dade County,2024,526549.486691699,Florida,Miami-Dade County,-67418,2838461,-24.02332848
12087,Monroe County,2020,607133.6129596467,Florida,Monroe County,4,82851,
12087,Monroe County,2021,720872.5926386677,Florida,Monroe County,-612,82234,-7.414362298
12087,Monroe County,2022,935163.3587541332,Florida,Monroe County,-756,82002,-9.206264156
12087,Monroe County,2023,973923.0713737243,Florida,Monroe County,-1476,81306,-18.07627305
12087,Monroe County,2024,993480.7283744995,Florida,Monroe County,-1374,80908,-16.94058466
12089,Nassau County,2020,315981.55458568956,Florida,Nassau County,808,91036,
12089,Nassau County,2021,371439.03293311223,Florida,Nassau County,3911,94413,42.178712207
12089,Nassau County,2022,460245.5825977114,Florida,Nassau County,3605,97891,37.49271986
12089,Nassau County,2023,473662.41759663844,Florida,Nassau County,3808,101579,38.181180127
12089,Nassau County,2024,479243.7716544838,Florida,Nassau County,2988,104376,29.016047195
12091,Okaloosa County,2020,256450.04031091757,Florida,Okaloosa County,188,212097,
12091,Okaloosa County,2021,299795.42464915797,Florida,Okaloosa County,1083,213678,5.0871939405
12091,Okaloosa County,2022,353140.3132476027,Florida,Okaloosa County,1814,217115,8.421678161
12091,Okaloosa County,2023,360405.22877185117,Florida,Okaloosa County,201,219624,0.9204582142
12091,Okaloosa County,2024,359072.5489809171,Florida,Okaloosa County,-1847,220483,-8.39341342
12093,Okeechobee County,2020,167633.65721837338,Florida,Okeechobee County,-17,39656,
12093,Okeechobee County,2021,196634.52913432778,Florida,Okeechobee County,437,40034,10.967499059
12093,Okeechobee County,2022,241728.24196601627,Florida,Okeechobee County,394,40416,9.7949036669
12093,Okeechobee County,2023,259900.27471894174,Florida,Okeechobee County,1022,41603,24.921054878
12093,Okeechobee County,2024,276195.69222069293,Florida,Okeechobee County,597,42369,14.219025389
12095,Orange County,2020,274813.80104549625,Florida,Orange County,-869,1431720,
12095,Orange County,2021,311883.7504182479,Florida,Orange County,-14365,1427909,-10.04675781
12095,Orange County,2022,382508.72484125145,Florida,Orange County,5143,1465146,3.5554111484
12095,Orange County,2023,400638.9419435508,Florida,Orange County,-7044,1501265,-4.749173328
12095,Orange County,2024,414069.03087834135,Florida,Orange County,-18097,1533646,-11.92588514
12097,Osceola County,2020,253047.64269487988,Florida,Osceola County,2010,391163,
12097,Osceola County,2021,289209.48210799653,Florida,Osceola County,10416,404055,26.196590117
12097,Osceola County,2022,367252.9101197976,Florida,Osceola County,12274,426556,29.554147489
12097,Osceola County,2023,381083.8697630688,Florida,Osceola County,7276,447243,16.653715557
12097,Osceola County,2024,383529.54144605534,Florida,Osceola County,5329,468058,11.644256917
12099,Palm Beach County,2020,307726.53073259065,Florida,Palm Beach County,2666,1494276,
12099,Palm Beach County,2021,356651.91510903806,Florida,Palm Beach County,8552,1503677,5.7052261993
12099,Palm Beach County,2022,451585.82254500827,Florida,Palm Beach County,9274,1531542,6.1109264274
12099,Palm Beach County,2023,477135.0524384552,Florida,Palm Beach County,-325,1557481,-0.210422519
12099,Palm Beach County,2024,490740.2623119407,Florida,Palm Beach County,-7546,1582055,-4.807079772
12101,Pasco County,2020,222508.1652138861,Florida,Pasco County,5370,566182,
12101,Pasco County,2021,268308.2007206104,Florida,Pasco County,22368,585290,38.851140106
12101,Pasco County,2022,341147.71775170247,Florida,Pasco County,24112,610584,40.325318554
12101,Pasco County,2023,348447.835226855,Florida,Pasco County,22881,636049,36.708477956
12101,Pasco County,2024,351224.0999228558,Florida,Pasco County,20361,659114,31.441602331
12103,Pinellas County,2020,259212.7788891139,Florida,Pinellas County,2252,959839,
12103,Pinellas County,2021,306312.36265000864,Florida,Pinellas County,5309,959703,5.5315278332
12103,Pinellas County,2022,377428.4743756835,Florida,Pinellas County,6608,964693,6.8676093694
12103,Pinellas County,2023,390694.5485644759,Florida,Pinellas County,1708,967301,1.7681214331
12103,Pinellas County,2024,397829.2231284363,Florida,Pinellas County,-3973,965870,-4.110345127
12105,Polk County,2020,205211.29215458236,Florida,Polk County,5755,730179,
12105,Polk County,2021,240443.85307818957,Florida,Polk County,26886,755712,36.188387977
12105,Polk County,2022,303279.44077128713,Florida,Polk County,29407,790530,38.036736811
12105,Polk County,2023,310903.72597722727,Florida,Polk County,25334,824172,31.3791647
12105,Polk County,2024,312387.81659822253,Florida,Polk County,19745,852878,23.547300319
12107,Putnam County,2020,142797.8411449055,Florida,Putnam County,142,73386,
12107,Putnam County,2021,172478.23355365515,Florida,Putnam County,1227,74116,16.637062548
12107,Putnam County,2022,201942.95195707283,Florida,Putnam County,1102,74805,14.799793179
12107,Putnam County,2023,203855.2850085138,Florida,Putnam County,1489,76211,19.719764793
12107,Putnam County,2024,210895.36080812934,Florida,Putnam County,1177,77301,15.334306113
12109,Saint Johns County,2020,330128.70471309446,Florida,St. Johns County,4183,277105,
12109,Saint Johns County,2021,392692.42569000466,Florida,St. Johns County,17327,293292,60.754176477
12109,Saint Johns County,2022,499108.19178117596,Florida,St. Johns County,13091,307837,43.554711218
12109,Saint Johns County,2023,507826.3869742921,Florida,St. Johns County,11878,321510,37.747061637
12109,Saint Johns County,2024,508194.79240211454,Florida,St. Johns County,11661,334928,35.528107757
12111,Saint Lucie County,2020,236899.925970614,Florida,St. Lucie County,2720,331461,
12111,Saint Lucie County,2021,284585.10679761233,Florida,St. Lucie County,14494,344300,42.896822989
12111,Saint Lucie County,2022,367365.5380379725,Florida,St. Lucie County,14044,359882,39.887415469
12111,Saint Lucie County,2023,377941.06153029733,Florida,St. Lucie County,13598,376186,36.947673313
12111,Saint Lucie County,2024,385922.59291181684,Florida,St. Lucie County,11634,390670,30.342072045
12113,Santa Rosa County,2020,235768.50390147304,Florida,Santa Rosa County,955,189022,
12113,Santa Rosa County,2021,281663.81661594746,Florida,Santa Rosa County,5062,193751,26.449096462
12113,Santa Rosa County,2022,334720.9123419051,Florida,Santa Rosa County,4349,198363,22.182324528
12113,Santa Rosa County,2023,343919.8613352925,Florida,Santa Rosa County,4623,203569,23.003891205
12113,Santa Rosa County,2024,347281.76491011266,Florida,Santa Rosa County,3578,207653,17.401792706
12115,Sarasota County,2020,285720.93346693437,Florida,Sarasota County,3729,436256,
12115,Sarasota County,2021,344066.5513727876,Florida,Sarasota County,17488,448730,39.521529154
12115,Sarasota County,2022,452214.5576600828,Florida,Sarasota County,16403,464067,35.940083063
12115,Sarasota County,2023,465243.33836636436,Florida,Sarasota County,8363,472079,17.866871193
12115,Sarasota County,2024,452183.1388391443,Florida,Sarasota County,4434,476604,9.3476957002
12117,Seminole County,2020,276068.24562871834,Florida,Seminole County,179,471472,
12117,Seminole County,2021,314383.4037207337,Florida,Seminole County,-1599,470935,-3.393438292
12117,Seminole County,2022,379219.42890429427,Florida,Seminole County,5459,481084,11.468258512
12117,Seminole County,2023,400606.90109543037,Florida,Seminole County,1901,489254,3.9182223102
12117,Seminole County,2024,413617.53222085227,Florida,Seminole County,-2080,494605,-4.228248153
12119,Sumter County,2020,289944.2357271333,Florida,Sumter County,1190,130303,
12119,Sumter County,2021,314568.09093030065,Florida,Sumter County,7213,134908,54.394425571
12119,Sumter County,2022,397399.2364448978,Florida,Sumter County,11377,144978,81.297385364
12119,Sumter County,2023,401951.0354201212,Florida,Sumter County,8724,152157,58.720783482
12119,Sumter County,2024,394005.20743674977,Florida,Sumter County,4385,154693,28.580739775
12121,Suwannee County,2020,166942.8386834438,Florida,Suwannee County,112,43530,
12121,Suwannee County,2021,204272.10293766067,Florida,Suwannee County,880,44139,20.075511298
12121,Suwannee County,2022,240224.64645093677,Florida,Suwannee County,1508,45370,33.694935705
12121,Suwannee County,2023,241969.6390781382,Florida,Suwannee County,914,46134,19.977268753
12121,Suwannee County,2024,255371.61494175016,Florida,Suwannee County,1548,47536,33.052204548
12123,Taylor County,2020,126424.81577244576,Florida,Taylor County,-23,21746,
12123,Taylor County,2021,151232.7073512478,Florida,Taylor County,-783,20811,-36.79770661
12123,Taylor County,2022,179894.70336383345,Florida,Taylor County,528,21347,25.048626595
12123,Taylor County,2023,183687.67441138835,Florida,Taylor County,371,21766,17.210586134
12123,Taylor County,2024,186856.7307838562,Florida,Taylor County,11,21843,0.5044830196
12125,Union County,2020,155930.69929001873,Florida,Union County,-544,15433,
12125,Union County,2021,174498.08158377223,Florida,Union County,581,15852,37.142400511
12125,Union County,2022,210401.14213810503,Florida,Union County,-255,15490,-16.27209495
12125,Union County,2023,237031.07685043593,Florida,Union County,577,15993,36.654702538
12125,Union County,2024,251948.6777528109,Florida,Union County,-133,15738,-8.382969336
12127,Volusia County,2020,223222.8870805495,Florida,Volusia County,3422,555752,
12127,Volusia County,2021,261891.49939936635,Florida,Volusia County,14832,566481,26.433013465
12127,Volusia County,2022,323070.9643705388,Florida,Volusia County,15415,580481,26.87970482
12127,Volusia County,2023,333942.7649966462,Florida,Volusia County,12009,592622,20.473905531
12127,Volusia County,2024,337703.0351708361,Florida,Volusia County,9724,602772,16.269112945
12129,Wakulla County,2020,189788.7439111468,Florida,Wakulla County,130,33903,
12129,Wakulla County,2021,220725.63411785694,Florida,Wakulla County,470,34287,13.785012465
12129,Wakulla County,2022,257676.77968314206,Florida,Wakulla County,934,35159,26.898597471
12129,Wakulla County,2023,270774.71071422496,Florida,Wakulla County,1300,36472,36.297133922
12129,Wakulla County,2024,280543.088062182,Florida,Wakulla County,636,37115,17.28566187
12131,Walton County,2020,436024.9043676946,Florida,Walton County,648,75891,
12131,Walton County,2021,548442.096938675,Florida,Walton County,4082,79744,52.45606708
12131,Walton County,2022,705501.4589617848,Florida,Walton County,2986,83100,36.673135025
12131,Walton County,2023,706326.6212634138,Florida,Walton County,2779,86338,32.802559048
12131,Walton County,2024,687089.8336034479,Florida,Walton County,2881,89666,32.737892321
12133,Washington County,2020,144608.31522501996,Florida,Washington County,33,25314,
12133,Washington County,2021,175851.10760326413,Florida,Washington County,-308,24856,-12.27825394
12133,Washington County,2022,200063.26213550687,Florida,Washington County,615,25426,24.462034128
12133,Washington County,2023,204771.0140665438,Florida,Washington County,154,25545,6.0426517039
