fips,STNAME,CTYNAME,year,domestic_mig,population,rdomestic_mig
12081,Florida,Manatee County,2022,15149,430700,35.876637794
12081,Florida,Manatee County,2023,10931,444457,24.980660613
12081,Florida,Manatee County,2024,10615,458352,23.515494418
12083,Florida,Marion County,2020,2295,377464,
12083,Florida,Marion County,2021,11066,385024,29.026030574
12083,Florida,Marion County,2022,13113,396661,33.550599026
12083,Florida,Marion County,2023,15327,412338,37.89127057
12083,Florida,Marion County,2024,16105,428905,38.288580113
12085,Florida,Martin County,2020,512,158669,
12085,Florida,Martin County,2021,2434,159925,15.279634896
12085,Florida,Martin County,2022,2845,162379,17.654140191
12085,Florida,Martin County,2023,1816,164241,11.119955912
12085,Florida,Martin County,2024,1225,165666,7.4263353006
12086,Florida,Miami-Dade County,2020,-7235,2695729,
12086,Florida,Miami-Dade County,2021,-41159,2669925,-15.34165267
12086,Florida,Miami-Dade County,2022,-38439,2713415,-14.28072535
12086,Florida,Miami-Dade County,2023,-50637,2774250,-18.45484373
12086,Florida,Miami-Dade County,2024,-67418,2838461,-24.02332848
12087,Florida,Monroe County,2020,4,82851,
12087,Florida,Monroe County,2021,-612,82234,-7.414362298
12087,Florida,Monroe County,2022,-756,82002,-9.206264156
12087,Florida,Monroe County,2023,-1476,81306,-18.07627305
12087,Florida,Monroe County,2024,-1374,80908,-16.94058466
12089,Florida,Nassau County,2020,808,91036,
12089,Florida,Nassau County,2021,3911,94413,42.178712207
12089,Florida,Nassau County,2022,3605,97891,37.49271986
12089,Florida,Nassau County,2023,3808,101579,38.181180127
12089,Florida,Nassau County,2024,2988,104376,29.016047195
12091,Florida,Okaloosa County,2020,188,212097,
12091,Florida,Okaloosa County,2021,1083,213678,5.0871939405
12091,Florida,Okaloosa County,2022,1814,217115,8.421678161
12091,Florida,Okaloosa County,2023,201,219624,0.9204582142
12091,Florida,Okaloosa County,2024,-1847,220483,-8.39341342
12093,Florida,Okeechobee County,2020,-17,39656,
12093,Florida,Okeechobee County,2021,437,40034,10.967499059
12093,Florida,Okeechobee County,2022,394,40416,9.7949036669
12093,Florida,Okeechobee County,2023,1022,41603,24.921054878
12093,Florida,Okeechobee County,2024,597,42369,14.219025389
12095,Florida,Orange County,2020,-869,1431720,
12095,Florida,Orange County,2021,-14365,1427909,-10.04675781
12095,Florida,Orange County,2022,5143,1465146,3.5554111484
12095,Florida,Orange County,2023,-7044,1501265,-4.749173328
12095,Florida,Orange County,2024,-18097,1533646,-11.92588514
12097,Florida,Osceola County,2020,2010,391163,
12097,Florida,Osceola County,2021,10416,404055,26.196590117
12097,Florida,Osceola County,2022,12274,426556,29.554147489
12097,Florida,Osceola County,2023,7276,447243,16.653715557
12097,Florida,Osceola County,2024,5329,468058,11.644256917
12099,Florida,Palm Beach County,2020,2666,1494276,
12099,Florida,Palm Beach County,2021,8552,1503677,5.7052261993
12099,Florida,Palm Beach County,2022,9274,1531542,6.1109264274
12099,Florida,Palm Beach County,2023,-325,1557481,-0.210422519
12099,Florida,Palm Beach County,2024,-7546,1582055,-4.807079772
12101,Florida,Pasco County,2020,5370,566182,
12101,Florida,Pasco County,2021,22368,585290,38.851140106
12101,Florida,Pasco County,2022,24112,610584,40.325318554
12101,Florida,Pasco County,2023,22881,636049,36.708477956
12101,Florida,Pasco County,2024,20361,659114,31.441602331
12103,Florida,Pinellas County,2020,2252,959839,
12103,Florida,Pinellas County,2021,5309,959703,5.5315278332
12103,Florida,Pinellas County,2022,6608,964693,6.8676093694
12103,Florida,Pinellas County,2023,1708,967301,1.7681214331
12103,Florida,Pinellas County,2024,-3973,965870,-4.110345127
12105,Florida,Polk County,2020,5755,730179,
12105,Florida,Polk County,2021,26886,755712,36.188387977
12105,Florida,Polk County,2022,29407,790530,38.036736811
12105,Florida,Polk County,2023,25334,824172,31.3791647
12105,Florida,Polk County,2024,19745,852878,23.547300319
12107,Florida,Putnam County,2020,142,73386,
12107,Florida,Putnam County,2021,1227,74116,16.637062548
12107,Florida,Putnam County,2022,1102,74805,14.799793179
12107,Florida,Putnam County,2023,1489,76211,19.719764793
12107,Florida,Putnam County,2024,1177,77301,15.334306113
12109,Florida,St. Johns County,2020,4183,277105,
12109,Florida,St. Johns County,2021,17327,293292,60.754176477
12109,Florida,St. Johns County,2022,13091,307837,43.554711218
12109,Florida,St. Johns County,2023,11878,321510,37.747061637
12109,Florida,St. Johns County,2024,11661,334928,35.528107757
12111,Florida,St. Lucie County,2020,2720,331461,
12111,Florida,St. Lucie County,2021,14494,344300,42.896822989
12111,Florida,St. Lucie County,2022,14044,359882,39.887415469
12111,Florida,St. Lucie County,2023,13598,376186,36.947673313
12111,Florida,St. Lucie County,2024,11634,390670,30.342072045
12113,Florida,Santa Rosa County,2020,955,189022,
12113,Florida,Santa Rosa County,2021,5062,193751,26.449096462
12113,Florida,Santa Rosa County,2022,4349,198363,22.182324528
12113,Florida,Santa Rosa County,2023,4623,203569,23.003891205
12113,Florida,Santa Rosa County,2024,3578,207653,17.401792706
12115,Florida,Sarasota County,2020,3729,436256,
12115,Florida,Sarasota County,2021,17488,448730,39.521529154
12115,Florida,Sarasota County,2022,16403,464067,35.940083063
12115,Florida,Sarasota County,2023,8363,472079,17.866871193
12115,Florida,Sarasota County,2024,4434,476604,9.3476957002
12117,Florida,Seminole County,2020,179,471472,
12117,Florida,Seminole County,2021,-1599,470935,-3.393438292
12117,Florida,Seminole County,2022,5459,481084,11.468258512
12117,Florida,Seminole County,2023,1901,489254,3.9182223102
12117,Florida,Seminole County,2024,-2080,494605,-4.228248153
12119,Florida,Sumter County,2020,1190,130303,
12119,Florida,Sumter County,2021,7213,134908,54.394425571
12119,Florida,Sumter County,2022,11377,144978,81.297385364
12119,Florida,Sumter County,2023,8724,152157,58.720783482
12119,Florida,Sumter County,2024,4385,154693,28.580739775
12121,Florida,Suwannee County,2020,112,43530,
12121,Florida,Suwannee County,2021,880,44139,20.075511298
12121,Florida,Suwannee County,2022,1508,45370,33.694935705
12121,Florida,Suwannee County,2023,914,46134,19.977268753
12121,Florida,Suwannee County,2024,1548,47536,33.052204548
12123,Florida,Taylor County,2020,-23,21746,
12123,Florida,Taylor County,2021,-783,20811,-36.79770661
12123,Florida,Taylor County,2022,528,21347,25.048626595
12123,Florida,Taylor County,2023,371,21766,17.210586134
12123,Florida,Taylor County,2024,11,21843,0.5044830196
12125,Florida,Union County,2020,-544,15433,
12125,Florida,Union County,2021,581,15852,37.142400511
12125,Florida,Union County,2022,-255,15490,-16.27209495
12125,Florida,Union County,2023,577,15993,36.654702538
12125,Florida,Union County,2024,-133,15738,-8.382969336
12127,Florida,Volusia County,2020,3422,555752,
12127,Florida,Volusia County,2021,14832,566481,26.433013465
12127,Florida,Volusia County,2022,15415,580481,26.87970482
12127,Florida,Volusia County,2023,12009,592622,20.473905531
12127,Florida,Volusia County,2024,9724,602772,16.269112945
12129,Florida,Wakulla County,2020,130,33903,
12129,Florida,Wakulla County,2021,470,34287,13.785012465
12129,Florida,Wakulla County,2022,934,35159,26.898597471
12129,Florida,Wakulla County,2023,1300,36472,36.297133922
12129,Florida,Wakulla County,2024,636,37115,17.28566187
12131,Florida,Walton County,2020,648,75891,
12131,Florida,Walton County,2021,4082,79744,52.45606708
12131,Florida,Walton County,2022,2986,83100,36.673135025
12131,Florida,Walton County,2023,2779,86338,32.802559048
12131,Florida,Walton County,2024,2881,89666,32.737892321
12133,Florida,Washington County,2020,33,25314,
12133,Florida,Washington County,2021,-308,24856,-12.27825394
12133,Florida,Washington County,2022,615,25426,24.462034128
12133,Florida,Washington County,2023,154,25545,6.0426517039
12133,Florida,Washington County,2024,975,26503,37.465416539
